OncotreePrimaryDisease,Drug,F-statistic,p-value,Higher in,name,moa,target
Ovarian Epithelial Tumor,BRD-A92826379-001-01-5::2.5::HTS,5.0851431445120845,0.024517044418828654,Other Types,lupanine,sodium channel blocker,INS
Ovarian Epithelial Tumor,BRD-A94033181-001-01-4::2.5::HTS,6.345488634330218,0.012048372937955402,Ovarian Epithelial Tumor,AZD6765,glutamate receptor antagonist,GRIN1
Ovarian Epithelial Tumor,BRD-A94709349-001-08-3::2.5::HTS,5.124984310237601,0.02396689788391778,Other Types,metaxalone,muscle relaxant,
Ovarian Epithelial Tumor,BRD-A94993966-001-05-1::2.63::HTS,5.635843561163267,0.017946245290642267,Ovarian Epithelial Tumor,vildagliptin,dipeptidyl peptidase inhibitor,DPP4
Ovarian Epithelial Tumor,BRD-A98174560-001-02-1::2.5::HTS,6.276869920144901,0.012516169175029597,Ovarian Epithelial Tumor,chloralose,,
Ovarian Epithelial Tumor,BRD-A99388803-001-01-5::2.5::HTS,4.57446697207768,0.03289484330671009,Ovarian Epithelial Tumor,metipranolol,adrenergic receptor antagonist,"ADRB1, ADRB2"
Ovarian Epithelial Tumor,BRD-K00337317-001-06-6::2.5::HTS,4.900280648900932,0.027255982742579263,Other Types,NU-7441,DNA dependent protein kinase inhibitor,PRKDC
Ovarian Epithelial Tumor,BRD-K01029106-001-01-4::2.52::HTS,4.813635726792918,0.028647747818546166,Ovarian Epithelial Tumor,picolinic-acid,chelating agent,
Ovarian Epithelial Tumor,BRD-K02898090-001-02-7::2.5::HTS,5.204347240218231,0.02291465929010616,Other Types,kifunensine,mannosidase inhibitor,"MAN1B1, MAN2A1"
Ovarian Epithelial Tumor,BRD-K03095347-001-06-1::2.5::HTS,3.9086060424292968,0.04853479180327417,Ovarian Epithelial Tumor,levosimendan,calcium sensitizer,"KCNJ11, KCNJ8, PDE3A, TNNC1"
Ovarian Epithelial Tumor,BRD-K03390685-001-01-7::2.5::HTS,4.306719320854391,0.0384229958973681,Ovarian Epithelial Tumor,cobimetinib,MEK inhibitor,
Ovarian Epithelial Tumor,BRD-K03739921-001-06-8::2.5::HTS,5.625105141474501,0.01804582854450361,Other Types,hypoxanthine,PARP inhibitor,PNP
Ovarian Epithelial Tumor,BRD-K04394237-001-06-0::2.5::HTS,10.014062277537302,0.0016382891072156851,Ovarian Epithelial Tumor,drospirenone,mineralocorticoid receptor antagonist,"AR, NR3C2, PGR"
Ovarian Epithelial Tumor,BRD-K04657451-001-01-0::2.5::HTS,7.172669439357309,0.007625210843778027,Other Types,D-delta-Tocopherol,,
Ovarian Epithelial Tumor,BRD-K06900071-001-01-2::2.5::HTS,4.000488299213923,0.04597211204672696,Ovarian Epithelial Tumor,tebipenem,bacterial cell wall synthesis inhibitor,CNR1
Ovarian Epithelial Tumor,BRD-K07955840-001-02-3::2.5::HTS,3.9052745947048977,0.048626845239391654,Other Types,PF-05212384,"mTOR inhibitor, PI3K inhibitor","MTOR, PIK3CA"
Ovarian Epithelial Tumor,BRD-K08799216-001-05-3::2.5::HTS,4.488312768514492,0.03458420470734295,Other Types,pelitinib,EGFR inhibitor,EGFR
Ovarian Epithelial Tumor,BRD-K09619322-001-03-8::2.5::HTS,4.15138554683655,0.0420717123602089,Ovarian Epithelial Tumor,CD-1530,retinoid receptor agonist,RARG
Ovarian Epithelial Tumor,BRD-K09900591-001-26-7::2.5::HTS,5.982999067483697,0.01476973680115184,Ovarian Epithelial Tumor,caffeic-acid,"HIV integrase inhibitor, lipoxygenase inhibitor, nitric oxide production inhibitor, tumor necrosis factor production inhibitor","ALOX5, MIF"
Ovarian Epithelial Tumor,BRD-K10671814-001-14-8::2.5::HTS,3.9717815114469532,0.04675623808427798,Ovarian Epithelial Tumor,sulfaphenazole,dihydropteroate synthetase inhibitor,DHPS
Ovarian Epithelial Tumor,BRD-K11099631-001-07-6::2.5::HTS,3.9529535658502986,0.04729453705442585,Other Types,gadoterate-meglumine,radiopaque medium,
Ovarian Epithelial Tumor,BRD-K11244467-001-08-5::2.5::HTS,4.520375648177448,0.03392872922816806,Other Types,ambazone,DNA damage inducer,
Ovarian Epithelial Tumor,BRD-K11558771-001-13-9::2.5::HTS,6.725606059748301,0.009753263184040713,Other Types,droxinostat,HDAC inhibitor,"HDAC6, HDAC8"
Ovarian Epithelial Tumor,BRD-K11595419-001-01-4::2.5::HTS,4.56954237771469,0.03298073098265984,Other Types,dipeptamin,,
Ovarian Epithelial Tumor,BRD-K11717138-001-30-3::2.5::HTS,7.032576182250369,0.00823970004531374,Ovarian Epithelial Tumor,benzbromarone,chloride channel blocker,ABCC1
Ovarian Epithelial Tumor,BRD-K12068470-001-04-1::2.5::HTS,4.1120120397388185,0.043050945408342534,Other Types,LY2608204,glucokinase activator,GCK
Ovarian Epithelial Tumor,BRD-K12184916-001-15-4::2.5::HTS,5.947849386788747,0.015044841511207808,Other Types,NVP-BEZ235,"mTOR inhibitor, PI3K inhibitor","ATR, MTOR, PIK3CA, PIK3CD, PIK3CG"
Ovarian Epithelial Tumor,BRD-K12502280-001-08-0::2.5::HTS,5.039974638947181,0.02517352880335638,Other Types,TG-101348,"FLT3 inhibitor, JAK inhibitor","BRD4, JAK1, JAK2, JAK3, TYK2"
Ovarian Epithelial Tumor,BRD-K12885236-001-02-7::2.5::HTS,6.430926801617645,0.011488631758474753,Other Types,dapivirine,non-nucleoside reverse transcriptase inhibitor,"CYP3A4, CYP3A5"
Ovarian Epithelial Tumor,BRD-K13094524-001-07-5::2.63::HTS,6.21944661262649,0.012940289301111574,Other Types,PFI-1,bromodomain inhibitor,BRD4
Ovarian Epithelial Tumor,BRD-K13238168-001-02-0::2.5::HTS,5.266901183417184,0.022102272612173145,Other Types,haloprogin,other antifungal,
Ovarian Epithelial Tumor,BRD-K13514097-001-05-3::2.5::HTS,6.1885435524628125,0.01314938498678383,Other Types,everolimus,mTOR inhibitor,MTOR
Ovarian Epithelial Tumor,BRD-K13571841-001-14-4::2.5::HTS,7.484483278251574,0.006431525670682506,Other Types,pepstatin,aspartic protease inhibitor,"CTSB, CTSD, CTSL, REN"
Ovarian Epithelial Tumor,BRD-K14796088-003-26-8::2.5::HTS,4.272058537876734,0.03920134279010815,Other Types,berberine,LDL receptor activator,LDLR
Ovarian Epithelial Tumor,BRD-K14965640-001-12-4::2.5::HTS,6.070057669182556,0.014049245954136336,Ovarian Epithelial Tumor,ibuprofen-(s),cyclooxygenase inhibitor,"ASIC1, BCL2, CFTR, FABP2, PLAT, PPARG, PTGS1, PTGS2, SLC5A8, THBD"
Ovarian Epithelial Tumor,BRD-K15697815-001-16-2::2.5::HTS,4.540828799876913,0.033531302484843824,Ovarian Epithelial Tumor,ursodiol,"nuclear factor erythroid derived, like (NRF2) activator",NR1H4
Ovarian Epithelial Tumor,BRD-K17205817-001-06-1::2.5::HTS,5.700032437078998,0.01729408036226905,Ovarian Epithelial Tumor,sulfametopyrazine,PABA antagonist,
Ovarian Epithelial Tumor,BRD-K18316707-001-02-7::2.5::HTS,6.328804806407941,0.012158383450992882,Ovarian Epithelial Tumor,O-1918,cannabinoid receptor antagonist,
Ovarian Epithelial Tumor,BRD-K18323388-001-01-1::2.5::HTS,5.276820887660781,0.021983195351967872,Ovarian Epithelial Tumor,uridine-triacetate,,
Ovarian Epithelial Tumor,BRD-K18850819-001-04-6::2.5::HTS,4.866712483014516,0.02778344011155965,Ovarian Epithelial Tumor,MK-0752,gamma secretase inhibitor,
Ovarian Epithelial Tumor,BRD-K18895904-001-16-1::2.5::HTS,3.898644900615559,0.04882125982802323,Ovarian Epithelial Tumor,olanzapine,"dopamine receptor antagonist, serotonin receptor antagonist","ADRA1A, ADRA1B, ADRA2A, ADRA2B, ADRA2C, ADRB1, ADRB2, ADRB3, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD2, DRD3, DRD4, DRD5, GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, HRH1, HRH2, HRH4, HTR1A, HTR1B, HTR1D, HTR1E, HTR1F, HTR2A, HTR2B, HTR2C, HTR3A, HTR5A, HTR6, HTR7"
Ovarian Epithelial Tumor,BRD-K19477839-001-07-6::2.5::HTS,4.145675266251642,0.04221615065565663,Ovarian Epithelial Tumor,SGX523,hepatocyte growth factor receptor inhibitor,MET
Ovarian Epithelial Tumor,BRD-K19540840-001-09-4::2.5::HTS,5.362982724759326,0.02092758288615747,Other Types,saracatinib,src inhibitor,"ABL1, LCK, SRC, YES1"
Ovarian Epithelial Tumor,BRD-K20013301-001-02-6::2.5::HTS,4.238260628884223,0.039987113818882015,Ovarian Epithelial Tumor,LY411575,gamma secretase inhibitor,
Ovarian Epithelial Tumor,BRD-K21164796-001-02-8::2.5::HTS,5.942784904290552,0.015088778747464561,Ovarian Epithelial Tumor,beta-naphthol,,
Ovarian Epithelial Tumor,BRD-K21295289-001-01-6::2.5::HTS,4.493985963844254,0.03447061057350572,Ovarian Epithelial Tumor,senicapoc,intermediate conductance potassium channel blocker,KCNN4
Ovarian Epithelial Tumor,BRD-K21547160-001-01-4::2.5::HTS,5.36808278614581,0.020882414445085644,Other Types,sufentanil,opioid receptor modulator,"OPRD1, OPRK1, OPRM1"
Ovarian Epithelial Tumor,BRD-K21913543-001-02-4::2.5::HTS,4.059158188230879,0.044413303911244664,Other Types,fluorescein,,SLC22A6
Ovarian Epithelial Tumor,BRD-K21937671-001-09-2::2.53::HTS,4.754336556456952,0.0296721169702217,Other Types,loxistatin-acid,cysteine peptidase inhibitor,CTSB
Ovarian Epithelial Tumor,BRD-K22356203-001-01-8::2.5::HTS,8.9537187943993,0.002890621180462333,Other Types,IDO5L,"indoleamine 2,3-dioxygenase inhibitor",IDO1
Ovarian Epithelial Tumor,BRD-K23082237-003-01-5::2.5::HTS,3.952508456812206,0.04729325710290623,Ovarian Epithelial Tumor,butaclamol,dopamine receptor antagonist,"DRD1, DRD2, DRD3, DRD4, DRD5, HTR1A, HTR2A"
Ovarian Epithelial Tumor,BRD-K24048528-001-01-7::2.59::HTS,7.178037171383054,0.007610371002547708,Other Types,abiraterone-acetate,androgen biosynthesis inhibitor,CYP17A1
Ovarian Epithelial Tumor,BRD-K24507548-001-01-8::2.5::HTS,4.185741356792981,0.04123029245565572,Other Types,cintriamide,,
Ovarian Epithelial Tumor,BRD-K25140590-001-03-0::2.5::HTS,4.112419577316311,0.043043183428185854,Ovarian Epithelial Tumor,CX-516,glutamate receptor modulator,
Ovarian Epithelial Tumor,BRD-K25875056-001-02-0::2.5::HTS,4.403754555232916,0.03630880993094934,Ovarian Epithelial Tumor,SC-9,protein tyrosine kinase activator,PRKCA
Ovarian Epithelial Tumor,BRD-K27141178-003-07-3::2.5::HTS,4.212567944565422,0.04059651897551427,Other Types,SB-203186,serotonin receptor antagonist,HTR4
Ovarian Epithelial Tumor,BRD-K28192623-066-08-1::2.5::HTS,4.640345173942253,0.03165694444475312,Other Types,spiradoline,opioid receptor agonist,OPRK1
Ovarian Epithelial Tumor,BRD-K29668683-300-02-2::2.5::HTS,3.985382111757295,0.046381248525942075,Other Types,BD-1063,sigma receptor antagonist,SIGMAR1
Ovarian Epithelial Tumor,BRD-K29713308-001-01-7::2.5::HTS,3.921785748589953,0.048155830202954206,Ovarian Epithelial Tumor,mebhydrolin,antihistamine,
Ovarian Epithelial Tumor,BRD-K30431096-004-01-3::2.5::HTS,6.934038819024997,0.008696693461545401,Other Types,domiphen,,
Ovarian Epithelial Tumor,BRD-K30977212-001-02-8::2.5::HTS,6.505975052786745,0.011015705485302533,Other Types,PIK-293,PI3K inhibitor,"PIK3CA, PIK3CB, PIK3CD, PIK3CG"
Ovarian Epithelial Tumor,BRD-K32372024-001-01-0::2.5::HTS,4.273756211770191,0.03919758713265456,Ovarian Epithelial Tumor,D-7193,,
Ovarian Epithelial Tumor,BRD-K32405725-001-02-8::2.5::HTS,3.908117998721744,0.04855058198815245,Other Types,etomoxir,carnitine palmitoyltransferase inhibitor,CPT1A
Ovarian Epithelial Tumor,BRD-K33690734-001-01-5::2.5::HTS,7.093296259758344,0.007960345830785694,Other Types,5-BDBD,purinergic receptor antagonist,P2RX4
Ovarian Epithelial Tumor,BRD-K33813875-003-01-8::2.5::HTS,5.548684468516741,0.01884727310970934,Other Types,valnemulin,bacterial 50S ribosomal subunit inhibitor,
Ovarian Epithelial Tumor,BRD-K34313798-001-01-6::2.5::HTS,6.5059508784930005,0.011019697900919476,Other Types,LY215490,glutamate receptor antagonist,"GRIA1, GRIA2, GRIA3, GRIA4, GRIK1"
Ovarian Epithelial Tumor,BRD-K34341643-001-01-4::2.5::HTS,4.486637047312057,0.034607054250515114,Other Types,glasdegib,hedgehog pathway inhibitor,SMO
Ovarian Epithelial Tumor,BRD-K34776109-001-16-6::2.5::HTS,4.044033238528731,0.04480651619965017,Other Types,glimepiride,insulin secretagogue,"ABCC8, KCNJ1, KCNJ11"
Ovarian Epithelial Tumor,BRD-K35189033-001-26-1::2.5::HTS,6.908356290736265,0.00881480219597282,Ovarian Epithelial Tumor,levonorgestrel,"estrogen receptor agonist, glucocorticoid receptor antagonist, progesterone receptor agonist, progesterone receptor antagonist","AR, ESR1, PGR, SRD5A1"
Ovarian Epithelial Tumor,BRD-K35629949-001-02-0::2.5::HTS,9.134142665943806,0.0026252215075873346,Other Types,SR-27897,CCK receptor antagonist,CCKAR
Ovarian Epithelial Tumor,BRD-K36660044-001-24-2::2.5::HTS,6.685855564275209,0.00997088852864664,Ovarian Epithelial Tumor,bufexamac,cyclooxygenase inhibitor,"HDAC10, HDAC6"
Ovarian Epithelial Tumor,BRD-K37069697-001-01-3::2.5::HTS,4.1944962505854715,0.04102797115767521,Other Types,fexinidazole,,
Ovarian Epithelial Tumor,BRD-K37203094-001-02-5::2.5::HTS,5.7826730471557655,0.016528148703825414,Ovarian Epithelial Tumor,1-hexadecanol,,
Ovarian Epithelial Tumor,BRD-K37682401-001-09-3::2.44::HTS,6.597128090563311,0.010488092327355307,Ovarian Epithelial Tumor,piromidic-acid,bacterial DNA gyrase inhibitor,
Ovarian Epithelial Tumor,BRD-K37764012-001-04-1::2.5::HTS,5.3427502793122805,0.02117073086957385,Other Types,PF-03758309,p21 activated kinase inhibitor,PAK4
Ovarian Epithelial Tumor,BRD-K38140108-002-01-2::2.5::HTS,4.4667502644031565,0.035001524163048386,Other Types,gadodiamide,radiopaque medium,
Ovarian Epithelial Tumor,BRD-K39467894-001-06-7::2.5::HTS,3.9906535451588354,0.04625541057845656,Ovarian Epithelial Tumor,nithiamide,bacterial DNA inhibitor,
Ovarian Epithelial Tumor,BRD-K39974922-001-04-3::2.5::HTS,4.54430826658137,0.033474170338995794,Ovarian Epithelial Tumor,lenvatinib,"FGFR inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor","FLT4, KDR"
Ovarian Epithelial Tumor,BRD-K40255344-001-17-6::2.5::HTS,9.28702904477624,0.002416254241491166,Other Types,tyrphostin-A9,"protein tyrosine kinase inhibitor, tyrosine kinase inhibitor",
Ovarian Epithelial Tumor,BRD-K41170226-001-13-8::2.5::HTS,7.56231286105276,0.006152758753294116,Other Types,deoxycholic-acid,"biliverdin reductase A activator, G protein-coupled receptor agonist","EFTUD1, FPR1, GPBAR1"
Ovarian Epithelial Tumor,BRD-K41304947-001-03-2::2.5::HTS,4.17249095619314,0.04155141449539759,Other Types,HA-966-(S)-(-),glutamate receptor antagonist,GRIA1
Ovarian Epithelial Tumor,BRD-K41731458-001-15-1::2.5::HTS,7.386362013944084,0.006775529453020447,Other Types,triclosan,antibacterial agent,DNMT1
Ovarian Epithelial Tumor,BRD-K42898655-001-01-8::2.5::HTS,4.016655165145894,0.04553233565830878,Other Types,temsirolimus,mTOR inhibitor,MTOR
Ovarian Epithelial Tumor,BRD-K43187018-001-03-3::2.52::HTS,4.057654240314935,0.04447811308039948,Other Types,GDC-0349,Pim kinase inhibitor,PIK3CA
Ovarian Epithelial Tumor,BRD-K43471985-001-03-0::2.69::HTS,5.174434411308711,0.02332181684486709,Other Types,OTX015,bromodomain inhibitor,"BRD2, BRD3, BRD4"
Ovarian Epithelial Tumor,BRD-K43621685-001-02-5::2.5::HTS,4.578213723558578,0.03281485265697837,Other Types,CP-673451,PDGFR tyrosine kinase receptor inhibitor,"KIT, PDGFRA, PDGFRB"
Ovarian Epithelial Tumor,BRD-K45168550-001-01-9::2.5::HTS,5.432013022532168,0.020130177321998764,Other Types,SB-756050,G protein-coupled receptor agonist,GPBAR1
Ovarian Epithelial Tumor,BRD-K45841694-001-11-7::2.65::HTS,4.440120631777297,0.0355747597976754,Ovarian Epithelial Tumor,IU1,ubiquitin C-terminal hydrolase inhibitor,USP14
Ovarian Epithelial Tumor,BRD-K48488978-001-05-3::2.5::HTS,13.042232218257881,0.0003322571380911627,Other Types,YM-201636,PI3K inhibitor,
Ovarian Epithelial Tumor,BRD-K49071277-001-04-7::2.5::HTS,5.622587684604061,0.018069045786088336,Other Types,securinine,"GABA receptor antagonist, TP53 activator",GABRA1
Ovarian Epithelial Tumor,BRD-K49328571-001-15-0::2.5::HTS,10.09904975831444,0.0015664812293381635,Other Types,dasatinib,"Bcr-Abl kinase inhibitor, ephrin inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, src inhibitor, tyrosine kinase inhibitor","ABL1, ABL2, BLK, EPHA2, FGR, FRK, FYN, HCK, KIT, LCK, LYN, PDGFRB, SRC, SRMS, STAT5B, YES1"
Ovarian Epithelial Tumor,BRD-K49554218-001-01-0::2.5::HTS,4.571583278333621,0.032944954534005706,Other Types,carebastine,histamine receptor antagonist,HRH1
Ovarian Epithelial Tumor,BRD-K49702221-003-01-6::2.5::HTS,5.352949657359883,0.021053693959818164,Other Types,SNAP-94847,,"ADRA1A, DRD2"
Ovarian Epithelial Tumor,BRD-K50817623-303-05-7::2.5::HTS,5.450689815967928,0.019934525359501045,Ovarian Epithelial Tumor,pancuronium,acetylcholine receptor antagonist,"CHRM2, CHRM3, CHRNA1, CHRNA2"
Ovarian Epithelial Tumor,BRD-K51662849-001-05-4::2.5::HTS,6.527857982102598,0.010893341777275176,Ovarian Epithelial Tumor,ilomastat,matrix metalloprotease inhibitor,"ACAN, ADAM28, MMP1, MMP12, MMP13, MMP14, MMP2, MMP3, MMP8, MMP9"
Ovarian Epithelial Tumor,BRD-K52113681-003-02-1::2.5::HTS,7.501539313666707,0.0063638160357081565,Other Types,CP-339818,potassium channel blocker,KCNA3
Ovarian Epithelial Tumor,BRD-K54606188-001-13-1::2.5::HTS,6.9277771187238635,0.008719928926141556,Other Types,JQ1-(+),bromodomain inhibitor,"BRD4, BRDT"
Ovarian Epithelial Tumor,BRD-K54665485-001-07-9::2.5::HTS,7.459243653203728,0.0065111662580584215,Ovarian Epithelial Tumor,R-59022,"diacylglycerol kinase inhibitor, protein kinase inhibitor",DGKA
Ovarian Epithelial Tumor,BRD-K55966568-001-05-4::2.5::HTS,4.140394153069985,0.042341926214085654,Ovarian Epithelial Tumor,orantinib,"FGFR inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor","AURKA, AURKB, EGFR, FGFR1, FGFR2, KDR, PDGFRA, PDGFRB"
Ovarian Epithelial Tumor,BRD-K56614220-001-19-0::2.5::HTS,6.546511432824861,0.010770843553357995,Other Types,clofazimine,GK0582 inhibitor,
Ovarian Epithelial Tumor,BRD-K56908511-001-01-2::2.5::HTS,11.909654741741647,0.000607752437722517,Other Types,fluroxene,local anesthetic,
Ovarian Epithelial Tumor,BRD-K57080016-001-15-9::2.5::HTS,4.223576000524056,0.04032767928512114,Ovarian Epithelial Tumor,selumetinib,MEK inhibitor,MAP2K1
