Cancer Type,Pathway,F-statistic,p-value,Higher in
Diffuse Glioma,Signaling By Non-Receptor Tyrosine Kinases R-HSA-9006927,10.590287509440744,0.0022487355308045166,Other Types
Diffuse Glioma,Fcgamma Receptor (FCGR) Dependent Phagocytosis R-HSA-2029480,11.40832416592712,0.0015864101524795053,Other Types
Diffuse Glioma,RAC1 GTPase Cycle R-HSA-9013149,5.131893595312508,0.028708097510577776,Other Types
Diffuse Glioma,COPI-dependent Golgi-to-ER Retrograde Traffic R-HSA-6811434,12.370002202760773,0.001061853055107062,Other Types
Diffuse Glioma,"Platelet Activation, Signaling And Aggregation R-HSA-76002",13.313974188868064,0.0007221883132500997,Other Types
Diffuse Glioma,Regulation Of Actin Dynamics For Phagocytic Cup Formation R-HSA-2029482,13.708450394152633,0.000616212301608539,Other Types
Diffuse Glioma,Formation Of ATP By Chemiosmotic Coupling R-HSA-163210,5.700892699277172,0.02153215892937927,Diffuse Glioma
Diffuse Glioma,RAC3 GTPase Cycle R-HSA-9013423,10.57691770452731,0.0022617285996212543,Other Types
Diffuse Glioma,EPH-Ephrin Signaling R-HSA-2682334,8.18840469174556,0.0065456178058604765,Other Types
Diffuse Glioma,Mitochondrial Translation R-HSA-5368287,16.079434562523197,0.00024406244673219916,Diffuse Glioma
Diffuse Glioma,Muscle Contraction R-HSA-397014,7.487060323198823,0.009068221629624984,Other Types
Diffuse Glioma,Transport To Golgi And Subsequent Modification R-HSA-948021,4.099145820608865,0.0492937666089919,Other Types
Diffuse Glioma,COPI-mediated Anterograde Transport R-HSA-6807878,8.28107419285905,0.00627287887456751,Other Types
Diffuse Glioma,Death Receptor Signaling R-HSA-73887,11.076447447517987,0.0018260834071589334,Other Types
Diffuse Glioma,RHO GTPases Activate WASPs And WAVEs R-HSA-5663213,15.577691267633197,0.0002957830563779119,Other Types
Diffuse Glioma,MET Promotes Cell Motility R-HSA-8875878,8.639112565547839,0.005327456975274285,Other Types
Diffuse Glioma,Transport Of Small Molecules R-HSA-382551,7.6275288542062,0.008490307689156868,Diffuse Glioma
Diffuse Glioma,Platelet Aggregation (Plug Formation) R-HSA-76009,14.431205198132334,0.0004623613076305454,Other Types
Diffuse Glioma,Integrin Signaling R-HSA-354192,14.431205198132334,0.0004623613076305454,Other Types
Diffuse Glioma,EPHB-mediated Forward Signaling R-HSA-3928662,30.828428131104005,1.7447968981742844e-06,Other Types
Diffuse Glioma,Protein Localization R-HSA-9609507,6.652300525774801,0.013494753828403577,Diffuse Glioma
Diffuse Glioma,Downstream Signal Transduction R-HSA-186763,11.520522984449249,0.0015131024058758593,Other Types
Diffuse Glioma,Mitochondrial Translation Termination R-HSA-5419276,32.58861961115967,1.0416183306875145e-06,Diffuse Glioma
Diffuse Glioma,GPCR Downstream Signaling R-HSA-388396,5.02743228832137,0.030287063029561287,Other Types
Diffuse Glioma,Signaling By GPCR R-HSA-372790,5.02743228832137,0.030287063029561287,Other Types
Diffuse Glioma,Hemostasis R-HSA-109582,4.643979889299261,0.036942614518169894,Other Types
Diffuse Glioma,Costimulation By CD28 Family R-HSA-388841,4.722310785070617,0.035463689181690634,Other Types
Diffuse Glioma,Signaling By PDGF R-HSA-186797,7.645945178241779,0.008417501834520683,Other Types
Diffuse Glioma,RHO GTPase Effectors R-HSA-195258,13.397680339615786,0.0006981933963250415,Other Types
Diffuse Glioma,Nucleotide Biosynthesis R-HSA-8956320,19.35152033119428,7.291922523499945e-05,Diffuse Glioma
Diffuse Glioma,P75 NTR Receptor-Mediated Signaling R-HSA-193704,5.210775502609107,0.027574867406050436,Other Types
Diffuse Glioma,Mitochondrial Translation Initiation R-HSA-5368286,21.464107393701997,3.472819965985789e-05,Diffuse Glioma
Diffuse Glioma,Metabolism Of Vitamins And Cofactors R-HSA-196854,31.72559152983266,1.339197946248466e-06,Diffuse Glioma
Diffuse Glioma,Pyruvate Metabolism And Citric Acid (TCA) Cycle R-HSA-71406,16.45381726343835,0.0002117216388333347,Diffuse Glioma
Diffuse Glioma,Mitochondrial Translation Elongation R-HSA-5389840,16.38140343679579,0.00021760568269679894,Diffuse Glioma
Diffuse Glioma,Cell-Cell Communication R-HSA-1500931,11.536513434608791,0.0015029497977603317,Other Types
Diffuse Glioma,RAC2 GTPase Cycle R-HSA-9013404,4.606170026148491,0.03768038241382363,Other Types
Diffuse Glioma,p130Cas Linkage To MAPK Signaling For Integrins R-HSA-372708,18.31355365071738,0.00010610442016633334,Other Types
Diffuse Glioma,CD28 Co-Stimulation R-HSA-389356,5.646000460583809,0.022131734316889386,Other Types
Diffuse Glioma,Signaling To ERKs R-HSA-187687,10.220604947047073,0.0026389834908187564,Other Types
Diffuse Glioma,RHOJ GTPase Cycle R-HSA-9013409,9.125201624412755,0.0042790601313121785,Other Types
Diffuse Glioma,"PTK6 Regulates RHO GTPases, RAS GTPase And MAP Kinases R-HSA-8849471",6.636261097773769,0.013599700284232491,Other Types
Diffuse Glioma,Cell Junction Organization R-HSA-446728,21.90073016799391,2.989440942007709e-05,Other Types
Diffuse Glioma,XBP1(S) Activates Chaperone Genes R-HSA-381038,10.298861432456832,0.0025507633816611707,Other Types
Diffuse Glioma,IRE1alpha Activates Chaperones R-HSA-381070,10.298861432456832,0.0025507633816611707,Other Types
Diffuse Glioma,Smooth Muscle Contraction R-HSA-445355,12.955964954632126,0.0008350714665553795,Other Types
Diffuse Glioma,Glyoxylate Metabolism And Glycine Degradation R-HSA-389661,20.258724224645913,5.284449917483333e-05,Diffuse Glioma
Diffuse Glioma,Metabolism R-HSA-1430728,37.52179744836624,2.6206491315927003e-07,Diffuse Glioma
Diffuse Glioma,Anti-inflammatory Response Favoring Leishmania Infection R-HSA-9662851,7.190403008708109,0.010431300845236188,Other Types
Diffuse Glioma,Heme Biosynthesis R-HSA-189451,12.336658007053794,0.0010765746493003022,Diffuse Glioma
Diffuse Glioma,Metabolism Of Porphyrins R-HSA-189445,12.336657164645104,0.0010765750239378187,Diffuse Glioma
Diffuse Glioma,rRNA Modification In Mitochondrion R-HSA-6793080,5.74380815369674,0.021075593864776834,Diffuse Glioma
Diffuse Glioma,FCERI Mediated MAPK Activation R-HSA-2871796,6.59595286925067,0.013867316273039443,Other Types
Diffuse Glioma,MET Activates RAP1 And RAC1 R-HSA-8875555,4.185301826090374,0.047071546726855436,Other Types
Diffuse Glioma,Drug ADME R-HSA-9748784,13.13747497182549,0.0007756799448441702,Diffuse Glioma
Diffuse Glioma,Prolonged ERK Activation Events R-HSA-169893,15.72580892822579,0.00027941073878222025,Other Types
Diffuse Glioma,Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,15.669433459605468,0.0002855268177449423,Other Types
Diffuse Glioma,Netrin-1 Signaling R-HSA-373752,6.9181242534549785,0.011876061004525275,Other Types
Diffuse Glioma,RHOV GTPase Cycle R-HSA-9013424,8.388289520484951,0.005972338791935956,Other Types
Diffuse Glioma,Purine Ribonucleoside Monophosphate Biosynthesis R-HSA-73817,18.66929110633688,9.322890798556393e-05,Diffuse Glioma
Diffuse Glioma,Citric Acid Cycle (TCA Cycle) R-HSA-71403,22.566835703846994,2.3835700038900333e-05,Diffuse Glioma
Diffuse Glioma,Metabolism Of Water-Soluble Vitamins And Cofactors R-HSA-196849,13.993692786226912,0.000549875449084508,Diffuse Glioma
Diffuse Glioma,EGR2 And SOX10-mediated Initiation Of Schwann Cell Myelination R-HSA-9619665,18.72843921014563,9.125264139262917e-05,Other Types
Diffuse Glioma,Ubiquinol Biosynthesis R-HSA-2142789,5.161042899001579,0.028283569260278144,Diffuse Glioma
Diffuse Glioma,DCC Mediated Attractive Signaling R-HSA-418885,15.474933336212933,0.0003077330807536734,Other Types
Diffuse Glioma,Initiation Of Nuclear Envelope (NE) Reformation R-HSA-2995383,4.073701126268928,0.04997186922689486,Other Types
Diffuse Glioma,mTORC1-mediated Signaling R-HSA-166208,6.081336062045558,0.01782788168348441,Other Types
Diffuse Glioma,Signaling By RAF1 Mutants R-HSA-9656223,7.257867135705714,0.01010316132944171,Other Types
Diffuse Glioma,Signaling By High-Kinase Activity BRAF Mutants R-HSA-6802948,7.257867135705714,0.01010316132944171,Other Types
Diffuse Glioma,Semaphorin Interactions R-HSA-373755,5.3032835254009,0.02630716506251111,Other Types
Diffuse Glioma,G Alpha (I) Signaling Events R-HSA-418594,4.217776436748423,0.04626260278859212,Other Types
Diffuse Glioma,G Alpha (12/13) Signaling Events R-HSA-416482,4.337490731578232,0.04340930574321712,Other Types
Diffuse Glioma,PRC2 Methylates Histones And DNA R-HSA-212300,4.395718423148423,0.04209149960511971,Diffuse Glioma
Diffuse Glioma,Metabolism Of Cofactors R-HSA-8978934,7.604418592856315,0.008582621573085095,Diffuse Glioma
Diffuse Glioma,Unfolded Protein Response (UPR) R-HSA-381119,8.137818466804408,0.006699800337552378,Other Types
Diffuse Glioma,Sealing Of Nuclear Envelope (NE) By ESCRT-III R-HSA-9668328,6.593548118498045,0.013883459290447436,Other Types
Diffuse Glioma,Frs2-mediated Activation R-HSA-170968,16.82592205272932,0.0001840177796648287,Other Types
Diffuse Glioma,YAP1- And WWTR1 (TAZ)-stimulated Gene Expression R-HSA-2032785,22.059288651119715,2.831872408034866e-05,Other Types
Diffuse Glioma,Signaling By BRAF And RAF1 Fusions R-HSA-6802952,4.632028122649537,0.03717411046619326,Other Types
Diffuse Glioma,Regulation Of Signaling By CBL R-HSA-912631,6.617431761814804,0.01372401773673071,Other Types
Diffuse Glioma,MET Receptor Recycling R-HSA-8875656,7.493779784796771,0.009039641639920886,Other Types
Diffuse Glioma,Gene And Protein Expression By JAK-STAT Signaling After Interleukin-12 Stimulation R-HSA-8950505,5.8231990669941744,0.020258223164165465,Other Types
Diffuse Glioma,JNK (c-Jun Kinases) Phosphorylation And Activation Mediated By Activated Human TAK1 R-HSA-450321,5.580751310787469,0.02286794017935309,Other Types
Diffuse Glioma,Interleukin-12 Signaling R-HSA-9020591,4.893568423083604,0.03244949842427183,Other Types
Diffuse Glioma,Kinesins R-HSA-983189,18.620281968885187,9.490050009935234e-05,Other Types
Diffuse Glioma,GRB2:SOS Provides Linkage To MAPK Signaling For Integrins R-HSA-354194,5.88437820706193,0.019651640807992105,Other Types
Diffuse Glioma,MET Activates PTK2 Signaling R-HSA-8874081,12.661426980724663,0.0009418830222002826,Other Types
Diffuse Glioma,Translation Of Replicase And Assembly Of Replication Transcription Complex R-HSA-9679504,10.092182949215484,0.002790831638093555,Other Types
Diffuse Glioma,Protein Ubiquitination R-HSA-8852135,4.689162713499655,0.03608152995463228,Other Types
Diffuse Glioma,ERBB2 Regulates Cell Motility R-HSA-6785631,9.371443760502054,0.0038337478009186255,Other Types
Diffuse Glioma,"Interleukin-3, Interleukin-5 And GM-CSF Signaling R-HSA-512988",7.610841502279965,0.008556858363856484,Other Types
Diffuse Glioma,Negative Regulation Of MAPK Pathway R-HSA-5675221,4.217672691062596,0.046265162740841685,Other Types
Diffuse Glioma,Cilium Assembly R-HSA-5617833,25.86753420888752,8.048245163784842e-06,Other Types
Diffuse Glioma,Cargo Trafficking To Periciliary Membrane R-HSA-5620920,8.251243195857674,0.006359331353801586,Other Types
Diffuse Glioma,Platelet Degranulation R-HSA-114608,10.56439172280445,0.002273973736095539,Other Types
Diffuse Glioma,SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339,12.386057728250288,0.0010548404390270363,Other Types
Diffuse Glioma,Retrograde Transport At Trans-Golgi-Network R-HSA-6811440,7.4841845134412175,0.009080482799358925,Other Types
Diffuse Glioma,Paradoxical Activation Of RAF Signaling By Kinase Inactive BRAF R-HSA-6802955,7.304254840649718,0.009883941367274359,Other Types
Diffuse Glioma,RAF Activation R-HSA-5673000,4.527120304023881,0.03927521816415505,Other Types
Diffuse Glioma,Interconversion Of Nucleotide Di- And Triphosphates R-HSA-499943,12.60281840261471,0.0009648068255619657,Diffuse Glioma
Diffuse Glioma,Apoptotic Factor-Mediated Response R-HSA-111471,4.1928808532860815,0.04688137698673634,Diffuse Glioma
Diffuse Glioma,Elastic Fibre Formation R-HSA-1566948,5.352203279736373,0.025662369376192064,Other Types
Diffuse Glioma,MAP2K And MAPK Activation R-HSA-5674135,9.006492472464263,0.004513062275136238,Other Types
Diffuse Glioma,VxPx Cargo-Targeting To Cilium R-HSA-5620916,9.850926743102603,0.0031016878249810155,Other Types
Diffuse Glioma,G Alpha (S) Signaling Events R-HSA-418555,9.9361048451599,0.0029879418228268423,Other Types
Diffuse Glioma,NCAM Signaling For Neurite Out-Growth R-HSA-375165,6.765780789548829,0.012776569484810325,Other Types
Diffuse Glioma,Signal Amplification R-HSA-392518,9.037604826203038,0.0044504477922490465,Other Types
Diffuse Glioma,Prefoldin Mediated Transfer Of Substrate To CCT/TriC R-HSA-389957,10.667115021470783,0.002175588270110169,Other Types
Diffuse Glioma,Cooperation Of Prefoldin And TriC/CCT In Actin And Tubulin Folding R-HSA-389958,7.466760763075276,0.009155149127818393,Other Types
Diffuse Glioma,G Alpha (Q) Signaling Events R-HSA-416476,5.127061791075843,0.028779131530189326,Other Types
Diffuse Glioma,Negative Regulation Of FGFR1 Signaling R-HSA-5654726,7.459838282071416,0.009184995754123477,Other Types
Diffuse Glioma,RNA Polymerase III Transcription Initiation From Type 3 Promoter R-HSA-76071,4.908263558033767,0.03220412767875335,Other Types
Diffuse Glioma,GPER1 Signaling R-HSA-9634597,12.661215894154687,0.0009419645457970526,Other Types
Diffuse Glioma,Cyclin A/B1/B2 Associated Events During G2/M Transition R-HSA-69273,6.759062855433694,0.012817925298497344,Other Types
Diffuse Glioma,Vitamin B5 (Pantothenate) Metabolism R-HSA-199220,12.832154123877672,0.0008783236436376918,Diffuse Glioma
Diffuse Glioma,Diseases Associated With N-glycosylation Of Proteins R-HSA-3781860,18.03681670314742,0.00011740897179936685,Other Types
Diffuse Glioma,Toll Like Receptor 3 (TLR3) Cascade R-HSA-168164,5.760066386765923,0.020905359851040126,Other Types
Diffuse Glioma,Depolymerisation Of Nuclear Lamina R-HSA-4419969,9.492649671971886,0.003632865543719708,Other Types
Diffuse Glioma,Inhibition Of Replication Initiation Of Damaged DNA By RB1/E2F1 R-HSA-113501,5.46939015017033,0.024186142737563584,Other Types
Diffuse Glioma,MHC Class II Antigen Presentation R-HSA-2132295,6.76295617436036,0.012793940479092282,Other Types
Diffuse Glioma,RNA Polymerase III Chain Elongation R-HSA-73780,4.399939352326428,0.041997684164861285,Other Types
Diffuse Glioma,Transferrin Endocytosis And Recycling R-HSA-917977,4.222993067730818,0.04613408069665806,Diffuse Glioma
Diffuse Glioma,Recruitment Of NuMA To Mitotic Centrosomes R-HSA-380320,11.204621871985855,0.0017292690931667493,Other Types
Diffuse Glioma,Regulation Of PLK1 Activity At G2/M Transition R-HSA-2565942,10.541193338739935,0.002296837697887496,Other Types
Diffuse Glioma,Mitotic Prometaphase R-HSA-68877,6.560762442584294,0.014105568213198527,Other Types
Diffuse Glioma,Post NMDA Receptor Activation Events R-HSA-438064,7.579193515348146,0.008684606176488146,Other Types
Diffuse Glioma,COPI-independent Golgi-to-ER Retrograde Traffic R-HSA-6811436,4.888260271415601,0.03253862892767124,Other Types
Diffuse Glioma,Apoptotic Execution Phase R-HSA-75153,4.624952124821404,0.037311910468823144,Other Types
Diffuse Glioma,Negative Regulation Of FGFR2 Signaling R-HSA-5654727,7.489603623082732,0.009057392850829026,Other Types
Diffuse Glioma,Negative Regulation Of FGFR3 Signaling R-HSA-5654732,7.489603623082732,0.009057392850829026,Other Types
Diffuse Glioma,Negative Regulation Of FGFR4 Signaling R-HSA-5654733,7.489603623082732,0.009057392850829026,Other Types
Diffuse Glioma,Thrombin Signaling Thru Proteinase Activated Receptors (PARs) R-HSA-456926,6.551443356525298,0.014169393631275446,Other Types
Diffuse Glioma,Cell-cell Junction Organization R-HSA-421270,6.033374195631784,0.018254574235376193,Other Types
Diffuse Glioma,Biosynthesis Of N-glycan Precursor (Dolichol LLO) And Transfer To Protein R-HSA-446193,4.088892425059268,0.04956579865056158,Other Types
Diffuse Glioma,Defective Pyroptosis R-HSA-9710421,10.552510596573725,0.0022856533375682094,Diffuse Glioma
Diffuse Glioma,SARS-CoV-1 Infection R-HSA-9678108,9.284586254522639,0.003984932899985131,Other Types
Diffuse Glioma,CD209 (DC-SIGN) Signaling R-HSA-5621575,6.024208160421899,0.018337362012846695,Other Types
Diffuse Glioma,RHO GTPases Activate Formins R-HSA-5663220,5.936301117056361,0.01915215410243959,Other Types
Diffuse Glioma,Regulation Of IFNG Signaling R-HSA-877312,5.9609421370277635,0.01891990603125908,Other Types
Diffuse Glioma,Activation Of NMDA Receptors And Postsynaptic Events R-HSA-442755,6.218154864848318,0.01666848175850322,Other Types
Diffuse Glioma,Spry Regulation Of FGF Signaling R-HSA-1295596,6.304483842196933,0.015978772226332805,Other Types
Diffuse Glioma,AURKA Activation By TPX2 R-HSA-8854518,16.795141374228223,0.0001861576648382806,Other Types
Diffuse Glioma,Defective Intrinsic Pathway For Apoptosis R-HSA-9734009,9.200169628668453,0.004137943817219188,Other Types
Diffuse Glioma,Centrosome Maturation R-HSA-380287,13.933818297054,0.000563147573085028,Other Types
Diffuse Glioma,Formation Of beta-catenin:TCF Transactivating Complex R-HSA-201722,10.373312297887903,0.0024697284586122077,Diffuse Glioma
Diffuse Glioma,RNA Polymerase III Transcription Termination R-HSA-73980,10.10430463336423,0.0027761109094095356,Other Types
Diffuse Glioma,Oncogenic MAPK Signaling R-HSA-6802957,4.2239337175988965,0.04611094752264904,Other Types
Diffuse Glioma,TGF-beta Receptor Signaling Activates SMADs R-HSA-2173789,4.100871290725313,0.049248149430495644,Other Types
Diffuse Glioma,Response To Elevated Platelet Cytosolic Ca2+ R-HSA-76005,11.44539892025892,0.0015617797083458218,Other Types
Diffuse Glioma,Mitochondrial Calcium Ion Transport R-HSA-8949215,9.052512381855315,0.004420773389313483,Diffuse Glioma
Diffuse Glioma,Synthesis Of Active Ubiquitin: Roles Of E1 And E2 Enzymes R-HSA-8866652,8.856019981263389,0.004829378216858323,Other Types
Diffuse Glioma,RHO GTPases Activate PAKs R-HSA-5627123,12.453682687065413,0.0010258360501762254,Other Types
Diffuse Glioma,VEGFR2 Mediated Vascular Permeability R-HSA-5218920,8.360097516194257,0.006049850760787128,Other Types
Diffuse Glioma,Glycolysis R-HSA-70171,5.264621945946011,0.026829137836897006,Other Types
Diffuse Glioma,RNA Polymerase III Transcription Initiation From Type 1 Promoter R-HSA-76061,5.656085438236975,0.02202024343308384,Other Types
Diffuse Glioma,Apoptotic Cleavage Of Cellular Proteins R-HSA-111465,5.314075149581089,0.026163433714688447,Other Types
Diffuse Glioma,Regulation Of TP53 Expression And Degradation R-HSA-6806003,13.192377361428576,0.0007586064614995987,Other Types
Diffuse Glioma,Integrin Cell Surface Interactions R-HSA-216083,5.018478665739345,0.03042671313240973,Other Types
Diffuse Glioma,NF-kB Is Activated And Signals Survival R-HSA-209560,4.076988400698532,0.049883690450980074,Other Types
Diffuse Glioma,Regulation Of TP53 Degradation R-HSA-6804757,15.048789919096038,0.0003629924183492571,Other Types
Diffuse Glioma,Chromatin Modifying Enzymes R-HSA-3247509,8.319881806245643,0.0061622784355687575,Diffuse Glioma
Diffuse Glioma,RNA Polymerase III Transcription Initiation R-HSA-76046,6.0908509739168,0.017744513230314958,Other Types
Diffuse Glioma,Oncogene Induced Senescence R-HSA-2559585,10.355469124131167,0.0024888979810584223,Other Types
Diffuse Glioma,Cellular Response To Chemical Stress R-HSA-9711123,8.966950233011369,0.00459399517414131,Diffuse Glioma
Diffuse Glioma,Signaling By FGFR1 R-HSA-5654736,6.854972077927687,0.012240832860457775,Other Types
Diffuse Glioma,Regulation Of IFNA/IFNB Signaling R-HSA-912694,16.250079834952125,0.00022871997712540408,Other Types
Diffuse Glioma,NOTCH4 Intracellular Domain Regulates Transcription R-HSA-9013695,7.34874463421673,0.00967845622636785,Diffuse Glioma
Diffuse Glioma,trans-Golgi Network Vesicle Budding R-HSA-199992,5.948286466704831,0.019038808409571756,Diffuse Glioma
Diffuse Glioma,MyD88-independent TLR4 Cascade R-HSA-166166,4.337150601755478,0.04341713470499339,Other Types
Diffuse Glioma,Transcriptional Regulation By E2F6 R-HSA-8953750,8.835333310839017,0.004874673215898687,Diffuse Glioma
Diffuse Glioma,Response Of EIF2AK4 (GCN2) To Amino Acid Deficiency R-HSA-9633012,5.548040025752016,0.023246920897783,Other Types
Diffuse Glioma,Loss Of Nlp From Mitotic Centrosomes R-HSA-380259,17.292227742424398,0.00015458340069377048,Other Types
Diffuse Glioma,Transcriptional Regulation By TP53 R-HSA-3700989,15.392891351563366,0.0003176387469261815,Diffuse Glioma
Diffuse Glioma,Diseases Of Glycosylation R-HSA-3781865,11.983166138875838,0.0012465873511835139,Other Types
Diffuse Glioma,HATs Acetylate Histones R-HSA-3214847,6.088690476054385,0.017763406415118498,Diffuse Glioma
Diffuse Glioma,Signaling By FGFR3 R-HSA-5654741,4.538449603984411,0.039042201571903516,Other Types
Diffuse Glioma,Signaling By FGFR4 R-HSA-5654743,4.538449603984411,0.039042201571903516,Other Types
Diffuse Glioma,RNA Polymerase III Abortive And Retractive Initiation R-HSA-749476,6.299995879625126,0.016013862804817758,Other Types
Diffuse Glioma,PKMTs Methylate Histone Lysines R-HSA-3214841,13.464331089526043,0.0006796893482267245,Diffuse Glioma
Diffuse Glioma,Processing Of SMDT1 R-HSA-8949664,7.274362793788751,0.010024616783258887,Diffuse Glioma
Diffuse Glioma,p75NTR Signals Via NF-kB R-HSA-193639,7.607154447077559,0.008571637571638825,Other Types
Diffuse Glioma,Formation Of Tubulin Folding Intermediates By CCT/TriC R-HSA-389960,7.890261518621553,0.007512152933433775,Other Types
Diffuse Glioma,Interleukin-7 Signaling R-HSA-1266695,21.469062988692013,3.4668950933674185e-05,Diffuse Glioma
Diffuse Glioma,Anchoring Of Basal Body To Plasma Membrane R-HSA-5620912,19.821864616146303,6.166690766514486e-05,Other Types
Diffuse Glioma,Deposition Of New CENPA-containing Nucleosomes At Centromere R-HSA-606279,8.413889290594371,0.005902868702789732,Diffuse Glioma
Diffuse Glioma,Estrogen-dependent Nuclear Events Downstream Of ESR-membrane Signaling R-HSA-9634638,5.981719417194096,0.018726427619804836,Other Types
Diffuse Glioma,PI-3K cascade:FGFR1 R-HSA-5654689,4.607790580185984,0.03764843434856208,Other Types
Diffuse Glioma,Heparan Sulfate/Heparin (HS-GAG) Metabolism R-HSA-1638091,10.397345516597088,0.0024441554930695786,Other Types
Diffuse Glioma,MET Activates RAS Signaling R-HSA-8851805,5.922041511047471,0.01928795365582759,Other Types
Diffuse Glioma,Pyruvate Metabolism R-HSA-70268,4.461669421002198,0.04065141379193118,Diffuse Glioma
Diffuse Glioma,RUNX1 Regulates Genes Involved In Megakaryocyte Differentiation And Platelet Function R-HSA-8936459,8.71116483745063,0.005156208655078113,Diffuse Glioma
Diffuse Glioma,Transport Of Inorganic Cations/Anions And Amino Acids/Oligopeptides R-HSA-425393,8.157609924138184,0.006639022238717629,Diffuse Glioma
Diffuse Glioma,E2F Mediated Regulation Of DNA Replication R-HSA-113510,9.68283135347292,0.003339844793827742,Other Types
Diffuse Glioma,PTK6 Regulates Cell Cycle R-HSA-8849470,9.287365199304105,0.003979999108825997,Other Types
Diffuse Glioma,RUNX2 Regulates Osteoblast Differentiation R-HSA-8940973,8.770284904588056,0.005020066259851662,Other Types
Diffuse Glioma,Extra-nuclear Estrogen Signaling R-HSA-9009391,11.72731254399268,0.0013872128073788494,Other Types
Diffuse Glioma,Regulation Of MECP2 Expression And Activity R-HSA-9022692,4.881809361317014,0.03264730555797569,Other Types
Diffuse Glioma,Downregulation Of SMAD2/3:SMAD4 Transcriptional Activity R-HSA-2173795,5.724412055353167,0.021280638593866977,Other Types
Diffuse Glioma,Activation Of PUMA And Translocation To Mitochondria R-HSA-139915,8.18101119177548,0.006567914916027319,Other Types
Diffuse Glioma,RUNX2 Regulates Bone Development R-HSA-8941326,7.737581550650583,0.008064996771119342,Other Types
Diffuse Glioma,SLC-mediated Transmembrane Transport R-HSA-425407,16.53447442719889,0.0002053644382827129,Diffuse Glioma
Diffuse Glioma,Amino Acid Transport Across Plasma Membrane R-HSA-352230,6.552687289529868,0.014160856202021305,Diffuse Glioma
Diffuse Glioma,Signaling By NOTCH2 R-HSA-1980145,9.920448568136791,0.003008512731236655,Diffuse Glioma
Diffuse Glioma,Post-chaperonin Tubulin Folding Pathway R-HSA-389977,9.091315729406242,0.004344513640331541,Other Types
Diffuse Glioma,Sulfur Amino Acid Metabolism R-HSA-1614635,4.676711202228148,0.036316627555311905,Diffuse Glioma
Diffuse Glioma,Cooperation Of PDCL (PhLP1) And TRiC/CCT In G-protein Beta Folding R-HSA-6814122,4.149946828690999,0.04796989201314629,Other Types
Diffuse Glioma,ERCC6 (CSB) And EHMT2 (G9a) Positively Regulate rRNA Expression R-HSA-427389,13.67565777815241,0.0006243626431840276,Diffuse Glioma
